Age,Credit_Score,Annual_Mileage,Vehicle_Ownership,Vehicle_Year,Speeding_Violations,Claim
56,719,26573,1,2004,5,1
69,372,22745,0,2015,3,1
46,536,5591,0,2022,8,1
32,345,5526,1,2000,8,1
60,561,12855,0,2018,2,1
25,475,15695,1,2013,6,1
38,465,6292,1,2002,4,1
56,669,23038,0,2001,8,1
36,353,21571,1,2023,1,1
40,718,24142,0,2004,2,1
28,806,13625,0,2016,9,1
28,640,11431,1,2017,4,0
41,426,27421,0,2000,4,1
53,708,20926,0,2014,9,1
57,666,16704,1,2021,6,1
41,570,29878,1,2008,7,1
20,678,25566,0,2022,7,1
39,372,28357,1,2004,0,1
19,547,5437,1,2012,0,1
41,342,15780,1,2018,2,1
61,676,22216,1,2023,0,1
47,340,13988,0,2009,0,1
55,469,13953,0,2019,9,1
19,511,10794,1,2020,7,1
38,792,8574,0,2013,0,0
50,338,25169,1,2021,8,1
29,668,26604,1,2020,1,1
39,450,29134,0,2011,8,1
61,410,21301,0,2010,6,1
42,779,28202,0,2022,8,1
66,735,5684,0,2006,2,0
44,346,9233,1,2016,0,1
59,665,21961,1,2017,0,1
45,368,17997,0,2006,9,1
33,598,13007,1,2023,5,1
32,595,21611,0,2019,6,1
64,502,7328,0,2005,8,1
68,360,24115,0,2010,5,1
61,613,14019,1,2011,4,0
69,460,21814,1,2015,1,1
20,630,14255,0,2018,1,0
54,827,23093,0,2022,7,1
68,637,10782,0,2018,0,0
24,603,6234,0,2010,7,1
38,802,29877,1,2015,9,1
26,637,10205,1,2022,6,1
56,849,6420,0,2011,6,1
35,574,22152,0,2007,4,1
21,463,27418,1,2002,2,1
42,742,14596,0,2001,6,1
31,618,24488,1,2005,6,1
67,803,9355,1,2015,6,1
26,686,24689,0,2019,1,1
43,793,22922,1,2023,2,1
19,789,22715,1,2014,2,1
37,372,29552,1,2013,3,1
45,808,28323,1,2001,8,1
64,689,13261,0,2019,9,1
24,594,18765,1,2017,0,1
61,668,26942,1,2013,6,1
25,848,10944,1,2017,6,1
64,486,12126,0,2001,3,1
52,744,21864,0,2000,0,1
31,662,10263,0,2019,2,0
34,422,25478,1,2001,4,1
53,487,27551,0,2008,1,1
67,719,20300,0,2008,6,1
57,551,7793,0,2015,9,1
21,848,7892,1,2010,9,1
19,634,6198,0,2022,6,1
23,391,29395,0,2005,9,1
59,829,23756,0,2011,4,1
21,362,23276,1,2002,9,1
46,811,27174,1,2011,5,1
35,438,6883,0,2022,0,1
43,484,26851,0,2000,3,1
61,504,5797,0,2008,3,1
51,513,13209,1,2019,7,1
27,555,13235,1,2021,1,1
53,434,21538,0,2005,0,1
31,387,26346,1,2010,6,1
48,506,20257,0,2002,5,1
65,428,25464,1,2003,4,1
32,302,13050,0,2009,7,1
25,420,10947,1,2018,1,1
31,684,14617,0,2005,1,0
40,337,25704,1,2000,8,1
57,640,6892,0,2007,0,0
38,320,8424,0,2007,5,1
33,541,14450,0,2005,2,1
62,754,18418,0,2016,4,0
35,602,7015,1,2018,7,1
64,368,28057,0,2000,6,1
41,428,27416,1,2014,3,1
43,495,9833,1,2012,7,1
42,439,14894,0,2020,9,1
62,743,20942,0,2002,1,1
58,582,14065,0,2001,6,1
46,611,5565,0,2002,4,0
32,834,12412,1,2008,5,0
62,576,23402,1,2015,2,1
18,360,15077,1,2023,9,1
42,618,15315,1,2012,6,1
